Session name,Available places,Facility id
S1__13_11_2022__8-9__SC1,2,0
S2__13_11_2022__9-10__SC1,2,0
S3__13_11_2022__10-11__SC1,2,0
S4__13_11_2022__11-12__SC1,2,0
S5__13_11_2022__12-13__SC1,2,0
S6__13_11_2022__13-14__SC1,2,0
S7__13_11_2022__14-15__SC1,2,0
S8__13_11_2022__15-16__SC1,2,0
S1__13_11_2022__8-9__SC2,2,1
S2__13_11_2022__9-10__SC2,2,1
S3__13_11_2022__10-11__SC2,2,1
S4__13_11_2022__11-12__SC2,2,1
S5__13_11_2022__12-13__SC2,2,1
S6__13_11_2022__13-14__SC2,2,1
S7__13_11_2022__14-15__SC2,2,1
S8__13_11_2022__15-16__SC2,2,1
S1__13_11_2022__8-9__SC3,2,2
S2__13_11_2022__9-10__SC3,2,2
S3__13_11_2022__10-11__SC3,2,2
S4__13_11_2022__11-12__SC3,2,2
S5__13_11_2022__12-13__SC3,2,2
S6__13_11_2022__13-14__SC3,2,2
S7__13_11_2022__14-15__SC3,2,2
S8__13_11_2022__15-16__SC3,2,2
